ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8742999_quant,SRR8742999,SRX5535071,A0803169L15,BTX642_Leaf_TP09_Post_flowering_drought_15,TP9L15,BTX642,Leaf,TP09,Post_flowering_drought,15
SRR8743036_quant,SRR8743036,SRX5535108,A0803169L19,BTX642_Leaf_TP09_Control_19,TP9L19,BTX642,Leaf,TP09,Control,19
SRR8743037_quant,SRR8743037,SRX5535109,A0803169L11,BTX642_Leaf_TP09_Control_11,TP9L11,BTX642,Leaf,TP09,Control,11
SRR8743038_quant,SRR8743038,SRX5535110,A0803169L02,BTX642_Leaf_TP09_Control_2,TP9L2,BTX642,Leaf,TP09,Control,2
SRR8743074_unmaped__quant,SRR8743074,SRX5535146,A0803169R05,RTX430_Root_TP09_Pre_flowering_drought_5,TP9R5,RTX430,Root,TP09,Pre_flowering_drought,5
SRR8743075_unmaped__quant,SRR8743075,SRX5535147,A0803169R13,RTX430_Root_TP09_Pre_flowering_drought_13,TP9R13,RTX430,Root,TP09,Pre_flowering_drought,13
SRR8743076_unmaped__quant,SRR8743076,SRX5535148,A0803169R18,RTX430_Root_TP09_Pre_flowering_drought_18,TP9R18,RTX430,Root,TP09,Pre_flowering_drought,18
SRR8743096_unmaped__quant,SRR8743096,SRX5535168,A0803169R03,RTX430_Root_TP09_Post_flowering_drought_3,TP9R3,RTX430,Root,TP09,Post_flowering_drought,3
SRR8743097_unmaped__quant,SRR8743097,SRX5535169,A0803169R22,RTX430_Root_TP09_Post_flowering_drought_22,TP9R22,RTX430,Root,TP09,Post_flowering_drought,22
SRR8743098_unmaped__quant,SRR8743098,SRX5535170,A0803169R16,RTX430_Root_TP09_Post_flowering_drought_16,TP9R16,RTX430,Root,TP09,Post_flowering_drought,16
SRR8743136_unmaped__quant,SRR8743136,SRX5535208,A0803169R20,RTX430_Root_TP09_Control_20,TP9R20,RTX430,Root,TP09,Control,20
SRR8743137_unmaped__quant,SRR8743137,SRX5535209,A0803169R12,RTX430_Root_TP09_Control_12,TP9R12,RTX430,Root,TP09,Control,12
